gene,A1,A2,A3,B1,B2,B3
gene2930,27.3,21.7,14.05,62.63,30.96,79.35
gene2931,2.46,2.51,1.7,7.42,6.44,13.52
gene2932,0.06,0,0.18,0.24,0.37,0.58
gene2933,10.61,9.98,14.42,6.83,2.35,5.09
gene2934,4.19,5.28,4.85,1.5,2.66,1.91
gene2935,19.54,13.97,16.23,8.02,6.01,9.25
gene2936,9.27,6.76,6.42,27.72,8.24,23.06
gene2937,1.56,2.19,1.45,9.64,2.35,7.98
gene2938,0.17,0.13,0.06,0.66,0.62,0.52
gene2939,0.11,0,0.24,0.84,0.31,0.58
gene2940,33.16,19.12,38.77,19.7,9.04,17.51
gene2941,1.79,2.12,0.97,12.87,3.41,12.43
gene2942,0.67,0.19,0.97,1.74,1.55,2.43
gene2943,0.17,0.58,0.06,1.5,0.68,0.52
gene2944,2.57,1.09,0.79,0.84,0.31,0.23
gene2945,0.89,0.26,0.97,0.18,0,0.23
gene2946,30.37,34.06,32.35,92.86,43.9,67.62
gene2947,2.23,1.55,3.09,0.3,0.37,1.56
gene2948,2.74,2.58,2,0.84,1.49,0.4
gene2949,1.9,0.45,1.27,13.89,3.03,9.59
gene2950,1.56,0.45,5.21,0.9,0.43,1.16
gene2951,1.45,0.52,0.3,4.85,0.8,6.7
gene2952,0.78,0.32,0.67,0.24,0,0.23
gene2953,4.86,4.77,1.64,10,6.69,11.15
gene2954,1.9,3.73,2.12,7.12,4.71,7.22
gene2955,2.34,0.97,0.61,0.72,0.37,0.23
gene2956,0.67,0.32,0.24,2.22,0.31,1.56
gene2957,5.86,4.96,1.39,0.78,0.74,1.96
gene2958,1.9,1.74,0.85,7.01,2.66,6.18
gene2959,8.99,4.77,8.24,15.21,15.42,21.73
gene2960,0.67,0.32,0.55,2.34,0.87,1.27
gene2961,0.28,0.32,0.3,2.39,0.31,1.96
gene2962,2.01,1.35,0.24,5.39,1.42,4.57
gene2963,1.84,1.35,0.48,5.81,3.47,6.18
gene2964,6.53,6.18,5.94,2.63,2.72,3.29
gene2965,1.17,0.84,1.15,6.23,1.98,7.63
gene2966,38.63,45.59,77.6,22.81,18.76,41.67
gene2967,6.03,5.86,3.57,11.8,13.93,12.37
gene2968,18.31,25.82,7.33,5.75,8.24,10.52
gene2969,14.35,17.58,6.42,31.55,15.85,39.7
gene2970,2.79,0.19,3.51,0.3,0.68,0.75
gene2971,15.91,16.16,21.32,9.4,9.1,8.84
gene2972,82.28,59.11,65.06,39.76,27.49,45.14
gene2973,15.69,19.9,21.26,10.66,8.36,9.94
gene2974,2.4,1.03,1.58,0.78,0.19,0.87
gene2975,2.68,3.41,1.21,0.3,0.12,0.52
gene2976,2.12,0.84,1.09,3.89,2.11,5.66
gene2977,0.56,0,0.3,3.41,0.25,3.29
gene2978,0.61,0.32,0.42,2.99,2.35,4.1
gene2979,3.96,3.86,2.06,6.65,12.51,9.82
gene2980,0.5,0.84,0.67,0.36,0.25,0.12
gene2981,5.64,2.77,3.94,14.01,6.81,13.81
gene2982,0.39,0.26,0.24,0.06,0.12,0
gene2983,3.96,2.83,1.7,14.19,7.31,8.9
gene2984,3.41,0.77,5.94,0.78,1.24,0.75
gene2985,0.95,0.39,0.61,2.34,1.98,1.91
gene2986,0.11,0.39,0.12,1.32,0.93,0.81
gene2987,0,0.32,0.12,3.77,2.85,5.09
gene2988,1.28,0.64,0.18,4.43,1.49,4.16
gene2989,0.5,0.26,0.36,0.48,1.36,1.33
gene2990,0.67,0.45,0.24,0.12,0.06,0.12
gene2991,1.9,0.45,1.94,9.22,1.24,9.13
gene2992,0.78,0.39,0.48,2.93,0.99,2.54
gene2993,0,0.26,0.12,0.6,0.5,1.33
gene2994,0.78,0.13,0.48,1.8,0.56,3.24
gene2995,32.77,30.59,12.18,10.78,12.57,13.41
gene2996,1.06,0.58,0.85,3.05,0.87,4.22
gene2997,1.51,2.83,0.91,3.95,5.02,7.46
gene2998,42.37,37.48,47.55,26.7,27.74,24.91
gene2999,2.4,2,0,0.3,0.25,0.29
gene3000,0.22,0.19,0.36,1.32,0.43,1.27
gene3001,0.06,0.19,0.18,0.78,0.74,1.27
gene3002,2.74,2.83,0.61,7.42,4.58,5.03
gene3003,0.22,0.19,0.12,0.3,0.68,0.81
gene3004,9.94,5.67,3.27,23.83,11.02,21.09
gene3005,0.11,0.45,0,0.3,0.5,1.39
gene3006,14.96,2.58,28.41,2.16,5.2,8.96
gene3007,44.88,11.27,78.99,5.69,23.96,20.98
gene3008,0.67,0.77,0.42,0.18,0.31,0.06
gene3009,3.35,4.25,5.09,9.04,14.68,10.58
gene3010,0.17,0.13,0.3,0.9,1.11,0.35
gene3011,9.38,9.34,13.08,6.71,2.97,4.51
gene3012,1,1.16,0.36,0.36,0.19,0.06
gene3013,15.18,2,38.89,4.49,3.1,7.11
gene3014,0.89,0.97,0.79,3.59,1.42,6.82
gene3015,0.28,0.58,0.24,0.12,0,0.06
gene3016,3.29,1.35,1.27,7.66,2.72,6.13
gene3017,11.39,9.47,2.06,33.29,7.74,20.05
gene3018,19.93,14.23,6.06,43.59,14.99,39.07
gene3019,0.78,0.13,0.06,1.38,0.5,1.33
gene3020,3.46,2.7,2.6,0.36,0.19,0.4
gene3021,1.23,0.97,0.18,4.43,2.35,2.72
gene3022,79.55,54.99,151.08,44.49,34.86,43.52
gene3023,0.61,0.58,0.97,0.12,0.12,0.23
gene3024,18.14,9.79,20.96,3.35,7.86,9.54
gene3025,1.28,2.32,0.55,0.06,0,0.29
gene3026,7.82,7.08,6.18,13.41,13.5,18.32
gene3027,42.31,54.09,62.82,24.37,34.12,29.65
gene3028,3.46,3.67,2.36,18.98,8.36,19.19
gene3029,5.75,2,2.54,2.04,1.05,0.87
gene3030,0.33,0.58,0.42,0,0.06,0
gene3031,9.94,10.3,5.94,43.17,11.83,35.08
gene3032,5.58,3.93,2.3,18.5,4.21,16.3
gene3033,0.28,0.26,0.42,0.84,0.74,1.21
gene3034,0.61,0.19,0.48,0.96,5.14,9.48
gene3035,2.85,2.77,2.24,3.17,12.57,10.46
gene3036,59.95,31.55,91.96,45.14,32.82,28.26
gene3037,0.06,0,0.18,0.42,0.56,0.29
gene3038,1.84,0.77,0.73,4.55,1.3,3.12
gene3039,0.06,0,0,0.3,0.37,0.58
gene3040,0.39,0.32,0.36,0.06,0.25,0
gene3041,0.95,0.64,1.64,0.6,0.06,0.29
gene3042,2.12,1.22,1.33,9.46,2.48,6.82
gene3043,13.12,2.32,2.67,41.79,1.8,24.45
gene3044,10.38,10.17,14.6,6.29,1.98,5.61
gene3045,4.13,0.32,4.79,0.48,0.8,1.68
gene3046,0.84,0.19,0.67,2.1,1.86,2.02
gene3047,0.95,0.39,0.36,0,0.19,0.17
gene3048,0.67,0.58,0.24,2.16,0.37,2.02
gene3049,0.28,0.45,0.24,0.06,0.06,0
gene3050,34.5,37.03,12.48,65.5,44.4,57.33
gene3051,3.91,3.35,1.94,11.38,6.07,10
gene3052,3.01,2.19,1.33,7.24,3.47,6.01
gene3053,0.17,0.26,0.18,0.78,0.68,0.69
gene3054,12.62,11.91,10.06,35.45,22.23,37.05
gene3055,1.67,1.03,1.09,3.35,1.55,4.97
gene3056,0.28,0.84,0.3,2.04,1.55,1.56
gene3057,0.56,0.77,0.24,1.92,1.05,1.79
gene3058,0.61,0.9,0.18,1.74,1.49,1.27
gene3059,0.84,0.32,0.55,3.05,2.11,4.45
gene3060,15.18,9.08,4.12,35.15,13.81,34.68
gene3061,62.35,83.91,37.68,131.36,108.24,128.59
gene3062,0.84,0.9,0.61,0.06,0.19,0.64
gene3063,0.33,0.32,0.3,1.32,0.68,0.81
gene3064,5.14,4.44,4,16.59,14.12,15.95
gene3065,5.81,6.89,0.61,1.2,1.49,0.92
gene3066,8.54,7.53,4.24,2.04,1.11,2.14
gene3067,0.22,0.26,0.12,0.72,0.68,0.4
gene3068,2.07,3.35,1.64,4.61,5.14,9.65
gene3069,4.19,5.47,4.06,1.74,1.98,1.68
gene3070,0.22,0.26,0.24,0,0,0
gene3071,2.51,2.51,1.27,0.3,0.5,0.69
gene3072,8.76,6.5,3.03,1.32,3.41,3.01
gene3073,0.56,0.52,0.12,6.23,5.63,5.72
gene3074,8.15,7.02,10.36,39.04,9.97,29.59
gene3075,14.68,23.7,11.21,54.84,30.78,41.21
gene3076,0.73,0.32,0.55,2.99,1.18,1.21
gene3077,0.22,0.39,0.12,0.78,0.5,1.33
gene3078,24.28,15.39,52.58,11.8,12.26,20.92
gene3079,0.28,0.13,0.3,1.44,0.99,1.68
gene3080,0.22,0.58,0.18,0.42,2.35,0.92
gene3081,1.12,1.42,0.73,2.04,2.23,3.99
gene3082,0.33,0.45,0.67,0.06,0.31,0.06
gene3083,4.35,5.99,2.54,13.41,15.05,7.51
gene3084,2.23,1.93,2.67,5.33,4.95,7.34
gene3085,1.84,0.9,0.48,0.18,0.37,0.12
gene3086,2.07,1.55,1.94,9.88,1.8,9.13
gene3087,0.78,0.84,0.85,6.65,3.84,4.16
gene3088,1.06,0.39,0.42,8.44,0.93,12.54
gene3089,0.95,3.8,0.24,3.83,6.01,7.57
gene3090,0.5,0.45,0.18,1.8,0.56,1.73
gene3091,3.96,1.35,6.42,0.96,1.24,2.02
gene3092,11.5,9.4,2.18,30.18,7.8,22.14
gene3093,2.01,0.77,0.97,6.05,2.11,3.87
gene3094,17.19,11.27,11.15,44.55,13.13,35.25
gene3095,15.52,8.76,9.63,28.32,25.2,14.74
gene3096,0.95,2.77,1.03,3.89,1.73,7.57
gene3097,10.72,9.14,6.85,29.82,17.28,24.91
gene3098,2.62,3.73,0.55,6.47,4.02,7.92
gene3099,3.68,2.19,4.73,10.18,14.12,19.48
gene3100,11.61,4.51,13.87,3.23,3.28,6.47
gene3101,43.32,57.57,19.87,12.51,26.5,22.77
gene3102,14.07,9.08,3.63,2.39,3.59,5.26
