gene,A1,A2,A3,B1,B2,B3
gene506,32.1,30.65,13.75,10.24,13.75,15.26
gene507,16.58,9.34,16.11,38.5,15.36,35.72
gene508,18.37,6.37,6.3,4.25,3.22,4.85
gene509,0.22,0.32,0.3,1.5,1.55,1.73
gene510,3.52,0.26,8.18,0.12,1.18,1.44
gene511,17.42,12.56,3.09,41.13,23.53,35.95
gene512,0.33,0.19,0.06,0.78,0.37,0.92
gene513,1.12,0.58,0.36,1.8,0.43,5.2
gene514,1.62,1.55,0.97,0.36,0.19,0.75
gene515,12.34,17.13,4.18,27.12,24.15,31.38
gene516,0.11,0.45,0.61,1.02,1.61,1.27
gene517,64.03,74.18,63.36,38.38,48.61,41.44
gene518,1.9,1.42,0.79,7.3,0.87,7.92
gene519,63.47,26.66,76.63,23.71,22.17,30.34
gene520,0.67,0.52,0.61,1.86,0.68,3.01
gene521,0.56,0.58,0.3,1.74,0.5,2.49
gene522,1.84,1.42,0.91,5.39,3.16,4.28
gene523,0.61,0.97,0.3,2.22,1.61,3.58
gene524,0.56,0.32,0.06,2.1,0.62,1.5
gene525,0.89,0.58,0.55,1.38,2.29,1.33
gene526,0.5,0.39,0.61,0.18,0.06,0.29
gene527,0.67,0.26,0.55,0.12,0.19,0.12
gene528,1.84,0.19,1.15,5.15,1.86,14.51
gene529,3.35,3.09,2.24,14.79,1.86,12.95
gene530,1.9,2.96,0.55,9.34,1.73,7.11
gene531,7.2,2.77,7.63,29.76,11.89,32.65
gene532,0.95,0.45,0.67,0.12,0.31,0.35
gene533,63.02,54.16,60.15,37.12,39.07,36.64
gene534,65.93,56.15,65.3,38.02,40.06,40.22
gene535,0.56,0.13,0.18,1.92,0.68,1.5
gene536,2.07,1.09,1.82,9.16,4.83,6.24
gene537,0.28,0.32,0.97,0.24,0.12,0.12
gene538,0.17,0.58,0.55,1.08,0.99,1.62
gene539,2.79,1.74,1.58,6.35,3.1,6.99
gene540,0.95,0.64,0.79,3.83,1.42,3.7
gene541,3.63,5.54,4.12,1.62,2.04,2.43
gene542,12.95,17.26,21.02,23.11,27.99,52.94
gene543,12.67,13.72,8,3.77,6.94,4.28
gene544,0.45,1.03,0.3,1.8,1.36,3.01
gene545,1.34,1.93,0.3,7.96,11.77,2.37
gene546,11.39,16.23,2.91,2.75,1.92,2.54
gene547,18.03,3.35,20.6,5.27,6.5,3.41
gene548,19.26,12.36,10.66,28.86,24.21,29.76
gene549,1.79,2.7,0.55,4.13,4.27,5.2
gene550,0.56,0.39,0.12,1.62,0.37,1.85
gene551,1.17,1.03,0.73,3.59,1.11,3.76
gene552,5.3,8.5,2.73,11.68,13.99,13.12
gene553,4.63,4.19,2.3,15.99,7.24,7.92
gene554,0.39,0.52,0,1.44,0.74,0.75
gene555,1.12,1.09,0.61,5.15,1.73,3.41
gene556,14.23,15.58,6.54,30.95,32.82,34.1
gene557,11.72,9.34,2.48,32.81,8.24,20.86
gene558,0.45,0.32,0.12,1.26,0.56,0.98
gene559,4.74,5.15,2.24,1.68,0.68,1.73
gene560,10.49,9.85,6,31.55,15.17,26.01
gene561,11.39,5.73,20.78,34.43,21.43,27.63
gene562,7.7,5.15,0.73,0.84,1.36,2.25
gene563,9.32,8.5,6.97,41.07,14.68,35.54
gene564,32.43,17.52,28.05,56.58,51.52,50.74
gene565,29.53,12.36,111.89,15.63,16.41,27.86
gene566,0.33,0.06,0.06,0.78,0.87,1.21
gene567,1.51,1.29,0.67,6.05,6.32,4.28
gene568,3.13,3.67,1.94,9.7,6.81,8.84
gene569,3.46,3.22,1.82,5.03,5.76,15.14
gene570,10.44,13.39,7.69,29.94,15.48,38.84
gene571,31.6,35.61,22.05,60.29,41.8,61.03
gene572,0.67,0.45,0.55,3.65,0.37,4.22
gene573,1.73,2.19,1.51,8.32,6.07,12.54
gene574,0.5,0.13,0.48,0.84,0.99,1.62
gene575,1.4,0.71,0.42,2.87,1.61,1.91
gene576,16.3,16.55,6.91,30.89,26.13,25.6
gene577,37.18,15.71,69.97,16.94,14.92,20.52
gene578,0.22,0.45,0.06,0.78,0.25,1.44
gene579,13.84,11.01,10.3,38.5,18.76,38.78
gene580,3.18,5.02,0.79,0.9,1.24,0
gene581,0.73,0.52,0.3,1.56,1.36,2.08
gene582,0.5,0.71,0.24,0.12,0.12,0.17
gene583,0.45,0.39,0.61,1.2,1.55,1.27
gene584,0.17,0,0.18,0.54,0.25,0.87
gene585,7.7,7.6,4.79,0.48,3.1,2.49
gene586,49.9,54.99,98.44,37,35.48,35.83
gene587,2.07,3.61,1.45,0.48,0.12,0.29
gene588,10.44,9.34,2.36,29.64,6.94,20.4
gene589,9.38,6.05,6.36,27.24,20.5,31.9
gene590,2.4,1.22,4.24,0.66,0.87,1.16
gene591,1.9,3.73,1.15,0.48,0.93,0.29
gene592,0.61,0.26,0.3,0.06,0.06,0.06
gene593,0.67,0.45,1.03,0.24,0.25,0.29
gene594,9.15,7.08,10.72,4.25,4.83,3.29
gene595,1.12,1.29,1.58,0.78,0.5,0.46
gene596,0.22,0.19,0,0.66,0.25,0.75
gene597,14.51,16.48,6.72,38.2,17.46,45.72
gene598,4.47,4.06,1.15,0.42,0.5,0.35
gene599,0.28,0.45,0,0.6,0.5,1.39
gene600,6.87,7.41,6.36,1.38,2.97,2.83
gene601,20.77,26.34,7.27,34.79,39.69,29.24
gene602,0.22,0.58,0.42,0,0.06,0.29
gene603,0.06,0.06,0,0.36,0.74,0.29
gene604,15.02,1.67,39.19,1.44,4.46,5.37
gene605,2.62,2,1.33,6.65,4.09,9.07
gene606,0.06,0.26,0,0.3,0.62,0.29
gene607,5.75,7.34,2.91,2.39,1.11,2.54
gene608,0.89,0.39,0.42,2.51,1.11,0.98
gene609,4.19,6.37,4,1.86,2.54,2.37
gene610,1,0.97,0.79,2.57,1.61,4.74
gene611,1.4,2.06,1.21,0.6,0.74,0.69
gene612,0.61,0.58,0.12,2.1,0.43,1.91
gene613,0.28,0.19,0.18,0.84,0.25,0.81
gene614,14.18,17.26,4.06,21.85,17.83,34.45
gene615,7.03,4.25,5.82,23.11,15.91,30.63
gene616,1,0.84,0.73,2.22,1.92,3.24
gene617,44.21,48.94,30.65,20.12,25.64,20.4
gene618,0.56,1.09,0.12,2.39,1.3,3.93
gene619,25.29,20.28,19.02,36.04,46.32,40.34
gene620,30.31,28.53,20.96,15.57,11.27,19.01
gene621,1.12,1.03,1.15,3.29,1.67,3.87
gene622,0.17,0.45,0.42,1.38,0.5,1.1
gene623,1.51,2.06,0.48,4.25,5.51,3.24
gene624,0.56,0.26,0.67,0.12,0.12,0.23
gene625,0,0.06,0,0.36,0.5,0.87
gene626,74.35,56.86,132.73,48.98,56.6,51.84
gene627,1.9,0.84,1.51,6.11,2.41,9.19
gene628,0.39,0.06,0.06,1.32,0.93,1.44
gene629,0.28,0.13,0.12,1.26,0.68,0.4
gene630,7.09,5.09,3.82,20.6,6.32,25.08
gene631,2.79,2,1.94,7.3,3.59,8.44
gene632,18.09,11.33,18.96,50.47,33.75,42.02
gene633,22.72,32.78,38.22,16.05,18.39,18.38
gene634,9.55,5.92,4.91,26.28,7.49,13.75
gene635,5.53,3.03,4.91,15.57,7.93,11.04
gene636,5.14,6.05,1.94,1.26,0.99,1.68
gene637,0.11,0.26,0,0.6,0.5,0.69
gene638,0.22,0.45,0.3,0,0.12,0.12
gene639,0.17,0.13,0.06,0.54,0.68,0.75
gene640,4.52,2.7,1.15,9.82,4.15,10.06
gene641,1.67,0.84,0.3,5.27,2.48,6.59
gene642,0.39,0.58,0.24,0.9,4.09,1.21
gene643,1.34,1.48,1.27,0.48,0.43,0.46
gene644,0.56,0.26,0.12,2.45,1.05,1.39
gene645,33.66,42.11,10.66,12.33,15.29,15.78
gene646,10.49,3.09,63.24,1.92,6.75,13.93
gene647,2.96,1.55,0.67,4.67,3.22,5.03
gene648,0.22,0.13,0.12,0.36,0.5,0.69
gene649,2.12,0.9,1.21,0.12,0.12,0.12
gene650,2.46,1.87,0.85,5.87,1.98,8.78
gene651,2.51,2.45,2.24,7.66,4.09,6.36
gene652,8.48,11.4,3.7,0.06,0.06,0.29
gene653,0.67,0.45,0.67,3.65,0.68,2.14
gene654,0.22,0.19,0.12,0.78,0.5,1.21
gene655,4.69,4.38,2.54,2.22,0.8,1.79
gene656,2.51,2,5.82,4.91,6.38,17.51
gene657,1.45,0.64,0.55,4.01,1.11,4.91
gene658,2.12,0.39,2.48,0.48,0.62,0.17
gene659,0.28,0.19,0,1.92,0.62,2.43
gene660,1.67,1.29,0.24,8.44,2.79,8.44
gene661,0.5,0.64,0.18,1.98,0.43,2.6
gene662,8.93,0.71,26.78,0.18,2.41,2.08
gene663,0.17,0.13,0.06,0.78,0.5,0.58
gene664,0.22,0.13,0.06,0.48,0.43,0.52
gene665,0.61,0.71,0.18,3.71,1.3,2.08
gene666,3.35,6.05,4.42,1.38,1.67,2.83
gene667,1.12,0.64,1.58,3.41,0.93,6.18
gene668,11.89,15.26,6.6,25.15,20.06,36.47
gene669,9.99,8.69,2.97,30.89,6.69,20.34
gene670,0.45,0.32,0.12,0.66,1.11,1.91
gene671,10.38,5.86,1.64,26.52,10.09,31.44
gene672,4.3,3.09,6.3,1.62,1.49,2.89
gene673,3.18,5.28,2,1.5,0.93,1.33
gene674,1,1.22,1.76,0.48,0.19,0.58
gene675,0.78,1.22,0.79,0.36,0.19,0.4
gene676,2.79,1.35,0.61,4.19,1.86,6.88
gene677,3.57,6.63,4.48,1.5,1.98,2.6
gene678,0.45,0.52,0.48,1.68,1.11,3.35
gene679,0.5,0.32,0.24,2.34,1.49,1.73
gene680,0.78,1.03,0.18,4.97,2.48,3.41
gene681,0.39,0.32,0.24,0.54,0.8,1.79
gene682,0.33,0.26,0.06,1.14,0.62,0.69
gene683,0.39,0.32,0.67,0.12,0.12,0.17
gene684,7.48,2.77,0.91,14.91,8.42,6.18
gene685,0.17,0.32,0,1.5,1.61,1.21
gene686,0.17,0.26,0.06,0.42,0.99,0.69
gene687,21.32,19.51,3.7,5.45,3.47,2.54
gene688,1.73,0.77,0.61,7.3,2.23,10.46
gene689,1.23,1.09,0.61,5.33,3.65,5.14
gene690,32.32,22.8,34.35,14.73,10.22,11.85
gene691,0.5,0.26,0.55,0.96,1.3,1.62
gene692,0.22,0.06,0.06,0.72,0.37,0.35
gene693,4.19,5.8,4.18,1.38,2.6,2.2
gene694,6.36,10.69,2.6,1.38,1.92,1.04
gene695,0.45,0.52,0.3,1.62,0.37,2.08
gene696,0.06,0,0.36,3.89,5.88,8.96
gene697,0.17,0.19,0.06,0.54,0.43,0.64
gene698,5.25,3.35,1.82,16.82,4.95,15.26
gene699,8.6,4.12,3.09,2.04,1.42,2.77
gene700,22.16,12.88,30.17,10,12.45,11.67
gene701,24.23,34.58,38.83,24.01,15.67,19.13
gene702,3.24,2.32,0.3,8.56,3.34,7.92
gene703,1.62,0.84,1.64,0.3,0.56,0.75
gene704,6.75,3.28,10.9,2.16,3.1,2.66
gene705,56.21,29.81,90.81,37.18,32.88,32.88
gene706,7.54,7.53,12.12,24.85,11.27,22.66
gene707,0.78,1.09,0.97,2.34,1.61,5.43
gene708,5.41,4.57,4.66,8.08,12.01,14.85
gene709,2.29,3.16,1.27,0.42,0.25,1.1
gene710,0.22,0.06,0.06,0.66,0.31,0.46
gene711,10.83,9.08,5.82,32.57,17.65,26.47
gene712,0.67,0.19,0.06,1.14,0.56,1.62
gene713,2.51,1.8,2.12,13.17,6.19,17.11
gene714,3.41,6.83,4.6,1.44,2.91,2.25
gene715,4.8,5.73,7.94,12.69,8.98,19.71
gene716,2.07,1.09,0.48,0.48,0.43,0.35
gene717,1.67,1.87,0.42,8.74,11.21,3.7
gene718,0.39,0.26,0.3,1.14,1.11,1.1
gene719,1.9,1.29,0.79,8.92,3.41,11.15
gene720,0.61,0.39,0.36,0,0,0
gene721,0.28,0,0.36,1.08,0.99,0.23
gene722,0.22,0.06,0.12,0.84,0.31,0.35
gene723,9.21,9.27,4.97,32.03,18.76,31.38
gene724,13.68,13.52,5.88,31.07,22.17,33.46
gene725,4.52,3.28,3.09,7.42,9.41,7.4
gene726,1.4,1.61,1.33,0.66,0.5,0.35
gene727,0.28,0,0.12,7.66,0.31,15.14
gene728,0.89,0.77,0.97,2.39,2.66,1.91
gene729,8.71,10.11,6.91,5.87,2.48,3.64
gene730,0.22,0.13,0.12,0.6,0.43,0.75
gene731,1.28,0.58,1.27,0.24,0.43,0.58
gene732,3.18,2.77,2.54,0.9,1.42,0.69
gene733,2.9,2.83,2.12,0.6,1.24,0.92
gene734,0.61,1.16,0.36,1.14,2.54,3.24
gene735,0.78,0.64,0.3,0.12,0.12,0.23
gene736,0.84,1.03,0.42,2.81,1.61,3.06
gene737,2.34,2.06,0.3,7.78,2.48,7.11
gene738,2.12,1.35,0.73,0.3,0.31,0.23
gene739,1.12,0.45,0.24,1.56,1.92,1.85
gene740,0.28,0,0,0.3,0.37,0.52
gene741,0.22,0.06,0,0.3,1.24,0.69
gene742,0.06,0.06,0.24,0.42,0.37,0.98
gene743,0.61,0.84,0.42,2.93,2.29,3.99
gene744,3.35,2.45,1.82,3.59,11.02,10.92
gene745,1,0.9,0.12,5.09,2.29,2.66
gene746,17.97,9.08,14.78,1.14,1.49,1.96
gene747,17.14,8.24,13.87,1.5,1.05,2.2
gene748,1,1.16,0.3,0.3,0.12,0.46
gene749,0.28,0.26,0.55,0.42,0.31,6.47
gene750,12.39,1.22,32.83,4.37,4.77,6.24
gene751,0.45,0.45,0,2.69,1.73,1.44
gene752,11.83,7.98,2.48,26.46,11.46,19.94
gene753,3.52,5.09,5.45,1.56,2.41,2.37
gene754,0.78,1.22,0.73,6.95,1.55,10.81
gene755,1.23,0.32,0.48,3.23,0.87,2.37
gene756,0.89,0.52,0.85,0.18,0.12,0.4
gene757,0.56,1.03,0.48,0.18,0.19,0.23
gene758,0.11,0.19,0,0.42,0.25,0.81
gene759,15.8,18.8,7.51,30.12,32.39,28.32
gene760,6.36,3.67,4.3,13.89,8.36,12.66
gene761,4.02,1.16,2.3,0,0.74,0.69
gene762,0.06,0.06,0.3,2.69,3.16,10.46
gene763,0.67,0.45,0.36,0,0,0.12
gene764,0.5,0.52,1.03,0.18,0.06,0.06
gene765,28.92,20.41,11.93,64.24,30.71,77.5
gene766,0.17,0.06,0.12,0.24,0.25,0.87
gene767,0.95,1.29,1.45,3.83,2.23,4.51
gene768,0.06,0.13,0.12,0.6,0.37,0.69
gene769,15.97,17.97,14.18,25.69,36.53,31.27
gene770,0.89,1.09,0.48,4.49,3.59,4.8
gene771,0,0.06,0.24,0.72,0.5,1.44
gene772,6.31,6.76,2.42,15.39,5.26,19.42
gene773,0.56,0.84,1.09,2.1,0.87,7.69
gene774,18.37,9.08,15.81,1.86,1.05,2.02
gene775,6.64,8.82,4.06,27.78,4.15,19.01
gene776,0.28,0.19,0.24,0.84,0.68,2.31
gene777,0.56,0.26,0.36,1.56,0.74,1.56
gene778,2.96,3.35,0.85,5.21,11.02,8.55
gene779,8.48,6.83,5.21,0.9,3.53,2.54
gene780,29.14,21.06,13.75,63.53,31.89,83.17
gene781,0.45,0.32,0.48,0.12,0,0.17
gene782,0.33,0.39,0.67,0,0.12,0.17
gene783,0.67,0.19,0.24,3.47,0.99,5.72
gene784,1,1.42,0.36,0.12,0.06,0.29
gene785,26.24,23.57,12.6,35.92,40.19,37.57
gene786,0.67,0.26,0.06,1.26,0.87,1.5
gene787,1.45,1.29,0.79,0.54,0.37,0.52
gene788,0.56,0.13,0,1.14,0.62,0.75
gene789,20.38,15.78,17.45,8.2,7.49,10.23
gene790,0.56,0.84,0.55,4.49,3.53,4.45
gene791,1.45,0.97,0.73,5.51,2.35,9.3
gene792,0.5,0.58,0.42,0.3,0.06,0.06
gene793,0,0.26,0.06,0.36,0.68,0.46
gene794,0.22,0.13,0.06,0.42,0.43,0.4
gene795,11.61,9.14,1.33,19.04,9.29,27.16
gene796,43.99,22.92,68.39,19.46,13.44,19.77
gene797,3.01,3.09,2.85,7.54,8.17,6.47
gene798,6.75,3.28,3.57,20.66,9.47,8.38
gene799,8.37,10.24,8.36,6.65,2.66,2.95
gene800,0.39,0.19,0.24,1.2,0.37,2.08
gene801,0.06,0.19,0,0.48,0.31,0.29
gene802,1.34,0.26,1.09,0.48,0.12,0.29
gene803,5.69,7.86,7.09,2.75,3.22,3.53
gene804,0.5,0.32,1.09,0.18,0.25,0.17
gene805,6.92,5.47,1.82,1.68,1.24,0.98
gene806,0.78,0.39,0.3,1.44,1.36,1.85
gene807,0.73,0.32,0.42,1.74,1.36,1.44
gene808,0.61,0.32,0.12,1.68,0.68,3.24
gene809,46.5,24.66,78.08,19.88,31.95,31.9
gene810,0.22,0.06,0.24,0.66,0.74,0.98
gene811,0.22,0.52,0.97,0.12,0.25,0.17
gene812,8.6,1.22,18.96,1.56,2.6,4.62
gene813,0.78,0.84,0.67,3.17,0.62,3.12
gene814,0.5,0.45,0.24,2.22,0.19,1.68
gene815,7.31,6.05,4.3,52.51,10.9,26.59
gene816,0.33,0.45,0.24,0.6,0.62,2.02
gene817,1.28,0.52,0.67,1.86,2.6,3.53
gene818,42.2,38.89,62.4,28.26,31.89,26.99
gene819,0.39,1.8,0.61,0.06,0.31,0.4
gene820,0.78,0.97,0.55,2.99,1.11,2.83
gene821,1.62,0.9,0.91,4.85,1.18,3.18
gene822,8.21,0.26,8.3,0.84,2.48,1.44
gene823,1.51,5.6,2.3,5.33,10.46,19.82
gene824,9.15,5.67,4.24,23.11,6.44,18.9
gene825,5.47,5.67,6.85,2.04,3.53,2.77
gene826,2.51,2.12,1.64,0.78,1.24,0.75
gene827,0.22,0.32,0.3,0,0.06,0
gene828,5.25,4.77,2.67,1.08,1.92,1.39
gene829,2.57,2.38,1.21,0.12,0,0.35
gene830,2.18,3.35,2.79,4.85,13.07,10.63
gene831,0.39,0.19,0.42,1.8,0.56,1.79
gene832,2.01,2.06,0.12,2.22,5.39,5.26
gene833,0.17,0.39,0.24,1.02,0.74,1.73
gene834,28.02,27.05,37.62,17.18,20.06,18.73
gene835,0.06,0.13,0,1.56,0.31,0.98
gene836,2.79,0.26,5.33,0.72,0.25,0.4
gene837,3.18,0.9,0.67,0.9,0.31,0.46
gene838,3.63,3.35,2.73,12.33,6.81,15.26
gene839,283.69,252.68,125.34,630.05,457.6,443.17
gene840,0.84,1.42,0.79,4.79,4.95,4.39
gene841,6.75,5.54,4.91,22.33,11.52,14.74
gene842,0.33,0.32,0,0.84,1.18,0.52
gene843,19.26,14.87,19.38,7.9,6.25,12.6
gene844,0,0.26,0.24,0.3,0.68,1.16
gene845,1.79,1.29,1.21,6.41,1.98,3.87
gene846,1.12,1.22,0.48,0.48,0.37,0.29
gene847,0.17,0,0.24,0.84,0.37,0.64
gene848,7.42,4.06,7.45,1.92,2.41,2.72
gene849,19.04,13.91,17.87,8.32,5.88,10.52
gene850,1.84,0.97,1.45,6.47,2.41,9.19
gene851,13.01,12.81,5.15,22.75,15.91,22.94
gene852,1.4,2.32,0.61,0.36,0.31,0.12
gene853,1.51,0.84,0.73,3.89,0.99,3.7
gene854,4.69,4.57,5.03,2.45,0.8,2.49
gene855,17.3,13.14,32.95,5.27,13.56,5.61
gene856,0,0,0,3.59,1.05,4.22
gene857,19.65,14.87,12.18,52.99,27.74,41.03
gene858,6.31,5.67,1.64,9.88,7.8,15.89
gene859,0.11,0.13,0.12,0.3,0.43,0.69
gene860,0.89,0.39,0.18,2.63,0.31,2.25
gene861,0.61,0.64,0.12,2.22,0.31,1.85
gene862,0.73,2.64,0.73,0.24,0.62,0.52
gene863,0.17,0.58,0.73,0.72,0.5,5.61
gene864,2.12,1.74,0.06,15.63,3.1,9.19
gene865,0.17,0.26,0.85,1.68,2.17,2.14
gene866,0.11,0.13,0.18,1.26,0.93,0.52
gene867,0.22,0.32,0.18,0.9,0.68,1.27
gene868,14.74,13.01,20.41,58.26,33.25,46.06
gene869,0,0.19,0,0.54,0.25,0.69
gene870,0.06,0,0.06,0.3,0.62,0.58
gene871,0.39,0.45,0.18,0.96,1.49,2.43
gene872,0.84,0.32,0,2.57,0.93,0.87
gene873,0.84,0.58,0.73,0.24,0.06,0.23
gene874,1,1.03,0.97,0.06,0.56,0.23
gene875,0.56,0.97,1.88,0.54,0.19,0.4
gene876,12.39,10.05,11.51,3.41,6.44,6.99
gene877,0.67,0.26,0.24,1.74,1.55,2.08
gene878,1.45,0.26,2.24,4.61,2.29,9.07
gene879,24.45,17.13,5.15,38.56,26.25,46.87
gene880,26.29,27.75,6.42,9.46,7.68,11.96
gene881,4.8,6.18,0.85,13.71,11.89,15.43
gene882,4.02,5.22,2.67,1.5,1.11,2.08
gene883,0.73,0.64,0.73,0.06,0,0
gene884,0.73,0.39,0.67,0.06,0,0.12
gene885,1,0.84,0.67,3.05,0.62,3.41
gene886,18.09,20.35,7.03,49.22,13.44,39.88
gene887,1.79,1.61,1.94,8.56,1.92,6.42
gene888,6.59,9.92,2.18,16.17,15.6,17.05
gene889,14.85,15.2,8.97,27.36,33.5,28.09
gene890,1.28,1.22,0.18,2.57,1.42,4.16
gene891,10.72,10.56,3.33,18.26,15.36,19.48
gene892,24.9,17.19,13.63,11.26,9.66,6.99
gene893,8.43,9.34,12.84,26.05,19.07,22.02
gene894,7.15,3.22,8.36,2.45,2.48,1.44
gene895,1.23,0.32,0.42,2.39,0.5,3.35
gene896,1.79,4.64,2.85,7.07,2.66,25.83
gene897,1,2,0.85,2.57,4.89,2.6
gene898,0.95,0.32,0.36,4.01,0.37,2.43
gene899,1.67,1.42,1.45,0.06,0,0.06
gene900,1.79,2.64,1.7,0.72,0.87,1.16
gene901,0.33,0.26,0.24,1.08,0.93,1.96
gene902,1.4,1.16,0.91,4.37,0.68,7.51
gene903,0.33,0.19,0.24,1.08,1.61,1.62
gene904,10.77,9.14,5.45,22.51,10.28,20.4
gene905,6.2,9.98,3.63,15.21,14.92,14.33
gene906,9.27,7.34,2.6,24.55,12.14,19.71
gene907,8.04,3.41,1.39,1.44,0.93,2.43
gene908,0.61,1.09,1.33,0.48,0.25,0.35
gene909,6.14,7.34,4.18,1.86,1.98,3.58
gene910,0.84,1.29,0.73,3.83,1.18,3.35
gene911,2.46,2.25,2.3,8.2,6.07,5.61
gene912,13.62,6.05,6.18,32.93,14.12,21.04
gene913,36.28,18.22,38.71,11.86,17.96,15.55
gene914,1.62,1.35,1.09,4.49,1.49,5.95
gene915,0.5,0.13,0,0.66,0.56,0.75
gene916,7.98,0.39,21.08,1.2,0.93,1.73
gene917,3.68,9.27,3.51,11.44,14.18,12.37
gene918,0.61,0.19,0.12,0.96,0.62,2.2
gene919,7.09,4.77,4,17.36,5.94,16.93
gene920,7.59,9.02,0.73,1.86,2.54,0.87
gene921,39.47,34.13,28.53,20.42,19.69,21.96
gene922,2.62,2.77,1.64,0.18,0.06,0.35
gene923,2.18,0.52,1.82,0.72,0.25,0.46
gene924,0,0.32,0.06,0.3,0.56,0.4
gene925,10.27,11.01,1.7,2.57,2.29,2.95
gene926,9.88,11.33,1.88,2.51,2.54,3.35
gene927,2.23,2.32,1.09,0.72,0.12,0.35
gene928,0.06,1.55,0.55,0.36,3.28,23.52
gene929,0.39,0.84,0,1.74,0.56,2.77
gene930,11.39,13.65,5.75,33.47,24.03,28.9
gene931,5.02,6.18,1.45,1.56,1.61,1.21
gene932,5.19,3.09,2,10.72,4.02,12.54
gene933,5.81,6.5,4.85,20.24,12.14,18.32
gene934,0.22,0.26,0.18,0.72,0.62,0.64
gene935,0.28,0.32,0.12,1.08,0.31,1.73
gene936,1.95,0.52,0.97,7.42,2.79,9.19
gene937,0.67,0.39,1.82,0.3,0.12,0.35
gene938,0.11,0,0.06,0.42,0.25,0.75
gene939,1.73,2.06,2.42,6.89,3.28,10.17
gene940,44.21,23.31,44.95,19.1,19.32,23.93
gene941,0.06,0.13,0.24,1.38,0.25,1.96
gene942,19.31,13.72,20.05,9.7,5.51,9.07
gene943,0.06,0,0.06,0.6,0.43,0.35
gene944,0.5,0.45,0.67,0.12,0.12,0.29
gene945,54.26,47.97,68.88,30.66,32.2,33.17
gene946,0.33,0.26,0.12,0.84,0.99,1.96
gene947,1.4,2.12,0.85,5.45,2.72,6.94
gene948,0.22,0.13,0.06,1.32,3.78,5.84
gene949,7.87,8.11,3.15,20.54,15.54,23.29
gene950,0,0,0.06,0.3,0.25,1.21
gene951,28.25,7.41,48.34,15.51,7.43,16.93
gene952,8.76,8.5,4.48,17.96,12.63,18.96
gene953,0.22,0.26,0.18,0.36,0.8,1.04
gene954,1.73,1.55,1.64,5.33,2.91,4.57
gene955,1.62,0.77,1.64,0.72,0.37,0.52
gene956,1.67,1.29,3.57,6.23,3.96,11.44
gene957,14.23,13.07,15.93,8.26,7.74,7.51
gene958,0.95,0.97,0.91,2.93,2.11,4.22
gene959,3.01,3.22,0.97,11.14,6.01,12.43
gene960,0,0.19,0,0.24,0.43,0.4
gene961,0.22,0.06,0,0.54,0.25,0.29
gene962,1,1.29,1.64,0.54,0.62,0.29
gene963,0.39,0.13,0.18,0.66,0.5,1.04
gene964,2.07,2.12,1.27,0.72,12.32,13.52
gene965,0.45,0.26,0.61,0.06,0.12,0.17
gene966,0,0.06,0,0.3,3.84,2.14
gene967,45.27,26.92,40.41,20.84,17.28,23.75
gene968,5.19,4.57,1.82,16.05,10.28,18.09
gene969,1.06,1.16,1.39,3.35,2.54,3.53
gene970,28.97,29.17,8.66,7.6,3.84,1.44
gene971,0.56,0.64,0.42,1.68,0.87,2.72
gene972,1.95,1.16,1.33,7.18,4.33,6.3
gene973,0.17,0.39,0.18,1.74,0.25,1.1
gene974,1.28,0.52,0.24,3.95,0.19,4.39
gene975,0.5,0.19,0.18,1.02,0.56,0.92
gene976,1.4,1.67,1.39,0.72,0.62,0.17
gene977,0.73,0.39,0.06,1.44,1.49,2.14
gene978,1.73,0.9,0.91,9.16,4.09,6.13
gene979,3.85,0,2.48,4.73,7.31,17.92
gene980,4.02,7.34,0.79,0.12,0.12,0.52
gene981,3.85,6.25,7.27,3.05,1.73,2.66
gene982,1.84,1.03,1.09,5.27,2.35,6.53
gene983,1.4,1.09,0.55,0.48,0.37,0.12
gene984,6.59,4.83,2.6,9.88,7,18.03
gene985,3.52,1.03,6.72,1.32,1.49,1.5
gene986,1.23,0.77,0.61,4.79,0.37,6.53
gene987,0.39,0.13,0,0.84,0.56,0.87
gene988,0.06,0,0.06,0.66,0.43,1.04
gene989,3.74,5.34,5.51,1.62,2.6,2.54
gene990,0.28,0,0.61,0.3,3.65,2.43
gene991,2.74,2.96,0.61,0.42,0.43,0.12
gene992,0.56,0.19,0,1.56,1.24,0.29
gene993,0.45,0.13,0.06,0.9,0.37,0.69
gene994,3.74,7.21,2.18,1.14,2.04,1.44
gene995,1.4,1.35,0.79,3.05,2.04,3.41
gene996,26.74,26.14,27.02,55.8,45.08,41.79
gene997,0.84,0.13,0.48,1.8,1.24,1.79
gene998,32.1,22.67,12.78,50.89,29.35,49.88
gene999,14.74,9.79,4.36,22.51,14.68,29.82
gene1000,2.18,2.58,2.42,7.18,5.02,10.75
gene1001,0.11,0.77,0,0.48,2.23,0.87
gene1002,0.11,0.13,0.06,0.48,0.5,0.52
gene1003,0.95,1.09,0.42,3.23,2.11,3.06
gene1004,0.56,0.13,0.3,2.34,0.31,3.29
gene1005,0.28,0.45,0.36,0.12,0,0.06
gene1006,1.95,1.74,0.3,6.71,3.1,2.43
gene1007,9.27,9.21,8.78,31.25,14.43,28.15
gene1008,0.28,0.13,0.3,1.38,0.56,2.08
gene1009,3.91,5.99,3.09,11.97,9.54,13.75
gene1010,8.32,7.92,3.7,16.64,15.79,18.38
